sort v2024,species_code,Clements v2024b change,text for website v2024b,category,English name,scientific name,range,order,family,extinct,extinct year,sort_v2023,de_name,es_name,ukrainian_name,ar_name
25237,bktpar15,,,subspecies,Rufous-vented Tit,Suthora nipalensis humii,"Himalayas of eastern Nepal, Sikkim, and western Bhutan",Passeriformes,Paradoxornithidae (Parrotbills),,,25047,Humi-Buschammer,Paradoxornis de Humi,Гумі сичужний,سوثورا نيپالينسيس هومي
25238,bktpar7,,,subspecies,Fire-capped Tit,Suthora nipalensis crocotia,mountains of southeastern Tibet and eastern Bhutan,Passeriformes,Paradoxornithidae (Parrotbills),,,25048,Gelbbauch-Buschammer,Zorzalito de Nepal,Жовточеревий синиця,طائر السوثورا النيبالي
25239,bktpar3,,,group (polytypic),Black-throated Parrotbill (Gray-breasted),Suthora nipalensis poliotis/feae,,Passeriformes,Paradoxornithidae (Parrotbills),,,25049,Nipal-Bartmeise,Mito nepalí,Ніпальська синиця,طائر الميتو النيبالي
25240,bktpar8,,,subspecies,Streak-throated Fulvetta,Suthora nipalensis poliotis,"eastern Bhutan to Assam, northeastern Myanmar, southeastern Tibet, and southern China (northwestern Yunnan)",Passeriformes,Paradoxornithidae (Parrotbills),,,25050,Himalaya-Zwergbartvogel,Mito del Himalaya,Гімалайський синиця,طائر الميتو الهيمالايا
25241,bktpar9,,,subspecies,Fire-capped Tit,Suthora nipalensis feae,hill forest of southeastern Myanmar (Karenni State) and northwestern Thailand,Passeriformes,Paradoxornithidae (Parrotbills),,,25051,Nepal-Bartmeise,Mito nepalí,Ніпальська синиця,ميتة نيبالية
25242,bktpar4,,,group (polytypic),Black-throated Parrotbill (Buff-breasted),Suthora nipalensis ripponi/patriciae,,Passeriformes,Paradoxornithidae (Parrotbills),,,25052,Nepal-Buschammer,Paro de Nepal,Ніпальська синиця,طائر السُّفُور النيبالي
25243,bktpar10,,,subspecies,Fire-capped Tit,Suthora nipalensis patriciae,southeastern Assam (Lushai Hills),Passeriformes,Paradoxornithidae (Parrotbills),,,25053,Himalaya-Zwergbartvogel,Reyezuelo del Himalaya,Гімалайський синиця,طائر الحنجرة الهيمالاياوي
25244,bktpar11,,,subspecies,Fire-tailed Myzornis,Suthora nipalensis ripponi,southwestern Myanmar (Mount Victoria),Passeriformes,Paradoxornithidae (Parrotbills),,,25054,Nipal-Buschammer,Zorzalito nepalí,Ніпальський синиця,طائر الشجيرة النيبالي
25245,bktpar5,,,group (polytypic),Black-throated Parrotbill (Black-eared),Suthora nipalensis beaulieu/kamoli,,Passeriformes,Paradoxornithidae (Parrotbills),,,25055,Nipalmeise,Reinita de Nepal,Ніпальська синиця,طائر نيبال
25246,bktpar12,,,subspecies,Fire-tailed Sunbird,Suthora nipalensis beaulieu,mountains of northern Laos (Chiang Khwang Province),Passeriformes,Paradoxornithidae (Parrotbills),,,25056,Nipal-Sumpfmeise,Mito nepalí,Ніпальська синиця,طائر الميتو النيبالي
25247,bktpar13,,,subspecies,Rufous-vented Tit,Suthora nipalensis kamoli,"central Vietnam (Mount Ngoc Linh, Kon Tum Province)",Passeriformes,Paradoxornithidae (Parrotbills),,,25057,Nepal-Buschammer,Paradoxornis nepalí,Непальський парадоксорніс,بارادوكسورنيز النيبالي
25248,golpar2,,,species,Golden Parrotbill,Suthora verreauxi,,Passeriformes,Paradoxornithidae (Parrotbills),,,25058,Goldschnabelmeise,Parrilla dorada,Золотистий паратовий синиця,ببغاء ذهبي
25249,golpar1,,,subspecies,White-browed Tit-Warbler,Suthora verreauxi verreauxi,mountains of southwestern China (eastern Qinghai to Sichuan and northern Yunnan),Passeriformes,Paradoxornithidae (Parrotbills),,,25059,Verreaux-Zwergschnäpper,Mito de Verreaux,Веррео малий синиця,ميت فروا
25250,golpar4,,,subspecies,Fire-tailed Myzornis,Suthora verreauxi craddocki,"southern China (northeastern Guangxi), northeastern Tonkin (Fan Si Pan Mountains), and western Myanmar",Passeriformes,Paradoxornithidae (Parrotbills),,,25060,Verreaux-Zwergbartvogel,Suthora de Verreaux de Craddock,Веррео малий синиця,فيروكس ساذورا
25251,golpar5,,,subspecies,Streak-throated Fulvetta,Suthora verreauxi pallida,mountains of southeastern China (northwestern Fujian),Passeriformes,Paradoxornithidae (Parrotbills),,,25061,Verreaux-Zwergbartvogel,Suthora de Verreaux pálida,Веррео південний бартоломей,سوثورا فيروكسي باليدا
25252,golpar6,,,subspecies,White-browed Tit-Warbler,Suthora verreauxi morrisoniana,highlands of Taiwan,Passeriformes,Paradoxornithidae (Parrotbills),,,25062,Verreaux-Zwergschnäpper,Mito de Verreaux,Веррео малий,ميت فروا
25253,blbpar3,,,species,Pale-billed Parrotbill,Suthora atrosuperciliaris,,Passeriformes,Paradoxornithidae (Parrotbills),,,25063,Blassschnabel-Parrotschnabel,Parrotbill de pico pálido,Свистун світлозорий,ببغاء المنقار الشاحب
25254,pabpar1,,,subspecies,Black-throated Parrotbill,Suthora atrosuperciliaris oatesi,northeastern India (Darjeeling) to Sikkim,Passeriformes,Paradoxornithidae (Parrotbills),,,25064,Schwarzbrauen-Sumpfwaldsänger,Reyezuelo cejinegro,Чорнобровий болотяний вівчарик,سوثورا أتروسوبيرسيلياريس أوتيسي
25255,pabpar2,,,subspecies,Black-browed Tit-Warbler,Suthora atrosuperciliaris atrosuperciliaris,"Assam to Myanmar, southern China (western Yunnan), northwestern Thailand, and northern Laos",Passeriformes,Paradoxornithidae (Parrotbills),,,25065,Schwarzbrauen-Sumpfwürger,Buitrón cejinegro,Чорнобровий очеретяний вівчарик,صرد أسود الحاجب
25256,spepar2,,,species,Spectacled Parrotbill,Suthora conspicillata,,Passeriformes,Paradoxornithidae (Parrotbills),,,25066,Brillenschnäpper,Pico de loro con gafas,Окулярна папуга,ببغاء نظاراتي
25257,spepar6,,,subspecies,Speckled Piculet,Suthora conspicillata conspicillata,"mountains of central China (eastern Qinghai to eastern Sichuan, southeastern Gansu, and southwestern Shaanxi)",Passeriformes,Paradoxornithidae (Parrotbills),,,25067,Augenbrauenbartvogel,Suthora conspicillata,Сутура помітна,سوثورا كونسبيسيلاتا كونسبيسيلاتا
25258,spepar7,,,subspecies,Streak-throated Fulvetta,Suthora conspicillata rocki,montane bamboo forest of northeastern China (western Liaoning),Passeriformes,Paradoxornithidae (Parrotbills),,,25068,Fleckenscheitel-Suthora,Suthora conspicillata rocki,Сутура конспіциллата рокі,سوثورا كونسبيسيلاتا روكي
25259,gyhpar4,subspecies revised,,species,Gray-hooded Parrotbill,Suthora zappeyi,,Passeriformes,Paradoxornithidae (Parrotbills),,,25069,Graukapuzenschnäpper,Parrilla capucha gris,Сіроголовий папуга,ببغاء رمادي الرأس
25259.1,gyhpar11,new subspecies,"Add new subspecies Suthora zappeyi erlangshanica; range statement for nominate changed to ""southern Sichuan and northwestern Guizhou""",subspecies,Fire-capped Tit,Suthora zappeyi zappeyi,southern Sichuan and northwestern Guizhou,Passeriformes,Paradoxornithidae (Parrotbills),,,,Zappeys Bartmeise,Suthora de Zappey,Заппеєва синиця,سوثورا زابي
25259.2,gyhpar12,new subspecies,Add new subspecies Suthora zappeyi erlangshanica; range statement for nominate modified accordingly,subspecies,Bar-tailed Treecreeper,Suthora zappeyi erlangshanica,southwestern Sichuan in Erlang range,Passeriformes,Paradoxornithidae (Parrotbills),,,,Erlangshan-Sumpfmeise,Suthora zappeyi erlangshanica,Сутура заппей ерлангшанська,سوثورا زابي إيرلانغشانكا
25260,bnwpar1,,,species,Eye-ringed Parrotbill,Suthora ricketti,southern China (southern Sichuan and northern Yunnan),Passeriformes,Paradoxornithidae (Parrotbills),,,25070,Augenring-Schnäpperammer,Parulín anillado,Кільчастий папужник,ببغاء حلقي العين
25261,bnwpar2,,,species,Brown-winged Parrotbill,Suthora brunnea,,Passeriformes,Paradoxornithidae (Parrotbills),,,25071,Braunflügel-Sperlingsschnäpper,Parrilla de alas marrones,Коричневе крилате пташеня,ببغاء الجناح البني
25262,bnwpar3,,,subspecies,Brown Parrotbill,Suthora brunnea styani,southern China (northern Yunnan from Mekong Valley to Tali region),Passeriformes,Paradoxornithidae (Parrotbills),,,25072,Braunrückenschnäpper,Papamoscas pardo,Бурий мухолов,ذبابة الغابة البنية
25263,bnwpar4,,,subspecies,Rufous-vented Tit,Suthora brunnea brunnea,southern China (Yunnan from Tali region southward to Tengyueh),Passeriformes,Paradoxornithidae (Parrotbills),,,25073,Braunrückenschnäpper,Mosquitero pardo,Бурий мухолов,مغرد بني
25264,vitpar1,,,species,Vinous-throated Parrotbill,Suthora webbiana,,Passeriformes,Paradoxornithidae (Parrotbills),,,25074,Weinrote Halsbandschnäpper,Parlín de garganta vinosa,Винно-горловий папугач,ببغاء الحنجرة الكرزية
25265,vitpar2,,,subspecies,Bar-tailed Treecreeper,Suthora webbiana suffusa,"mountains of northwestern China (Shaanxi to western Sichuan, Jiangxi, and Guangdong)",Passeriformes,Paradoxornithidae (Parrotbills),,,25075,Webbs Bartmeise,Mito de Webb,Вусата синиця Вебба,طائر ويب ذو الشارب
25266,vitpar3,,,subspecies,Fire-capped Tit,Suthora webbiana mantschurica,eastern Manchuria to northeastern China (eastern Liaoning),Passeriformes,Paradoxornithidae (Parrotbills),,,25076,Webbs Bartmeise,Suthora de Webb,Вусата синиця Вебба,طائر ويب ذو الشارب
25267,vitpar4,,,subspecies,Streaked Spiderhunter,Suthora webbiana fulvicauda,northeastern China (southern Liaoning) to southern Korea,Passeriformes,Paradoxornithidae (Parrotbills),,,25077,Brauschwanz-Sumpfwürger,Suthora de Webb fulvicauda,Сутора вебба фульвікауда,سوثورا ويبّيانا فولفيكاودا
25268,vitpar5,,,subspecies,Rufous-vented Tit,Suthora webbiana webbiana,coastal eastern China (southern Jiangsu and northern Zhejiang),Passeriformes,Paradoxornithidae (Parrotbills),,,25078,Webbs Bartmeise,Suthora de Webb,Вусата синиця Вебба,سُذَراء ويب
25269,vitpar6,,,subspecies,Fire-capped Tit,Suthora webbiana elisabethae,montane forest of southern China (southeastern Yunnan) and northwestern Tonkin,Passeriformes,Paradoxornithidae (Parrotbills),,,25079,Webbs Bartmeise,Suthora de Webb,Вусата синиця Вебба,طائر ويب ذو الشارب
25270,vitpar7,,,subspecies,Streaked Barwing,Suthora webbiana bulomacha,Taiwan,Passeriformes,Paradoxornithidae (Parrotbills),,,25080,Braunrückenschnäpper,Mosquitero de Webb,Веббів синиця,طائر ويب
25271,astpar1,subspecies revised,,species,Ashy-throated Parrotbill,Suthora alphonsiana,,Passeriformes,Paradoxornithidae (Parrotbills),,,25081,Aschgrauer Schnabelpapagei,Parlín de garganta cenicienta,Сірогорлий папугаїк,ببغاء الحنجرة الرمادية
25272,astpar2,,,subspecies,Fire-capped Tit,Suthora alphonsiana alphonsiana,"mountains of west-central China (eastern Qinghai, eastern Sichuan, and Guizhou)",Passeriformes,Paradoxornithidae (Parrotbills),,,25082,Alphons-Sumpfmeise,Súmense de Alphons,Альфонсова синиця,طائر السمنة ألفونس
25272.5,astpar4,new subspecies,Add new subspecies Suthora alphonsiana ganluoensis; range statement for nominate does not require change,subspecies,Alphonse's Bush Robin,Suthora alphonsiana ganluoensis,Ganluo region of southwestern Sichuan,Passeriformes,Paradoxornithidae (Parrotbills),,,,Alphons-Sumpfmeise (Unterart ganluoensis),Paradoxornis de Alphons (subespecie ganluoensis),Альфонсова парадоксорніс (підвид ganluoensis),سوثورا ألفونسينا جانلووينسيس
25273,astpar3,,,subspecies,Fire-capped Tit,Suthora alphonsiana yunnanensis,montane forest of southern China (southeastern Yunnan) and northwestern Tonkin,Passeriformes,Paradoxornithidae (Parrotbills),,,25083,Yunnan-Alphons-Schnäpper,Reinita de Alphons de Yunnan,Юньнаньський альфонсовий синиця,سوثورا ألفونسية يوناننسيس
25275,rutpar2,,,species,Rusty-throated Parrotbill,Suthora przewalskii,mountains of south-central China (southeastern Qinghai to southeastern Gansu and adjacent Sichuan),Passeriformes,Paradoxornithidae (Parrotbills),,,25085,Rostkehl-Sperlingsschnäbel,Parlín de garganta ferruginosa,Рудогорлий папугач,ببغاء الحنجرة الصدئة
25277,zoster2,,,family,"White-eyes, Yuhinas, and Allies",Zosteropidae,,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25087,"Weißaugen, Yuhinas und Verwandte","Ojos blancos, Yuhinas y afines","Білоокі, Юхіни та споріднені",العيون البيضاء، اليوهينات والأقارب
25278,whcyuh1,,,species,White-collared Yuhina,Parayuhina diademata,mountains of southwestern China to southeastern Myanmar and northwestern Tonkin,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25088,Weißkragen-Yuhina,Yuhina de collar blanco,Юхіна білошийна,يوهينا ذو الياقة البيضاء
25279,chcyuh1,,,species,Chestnut-crested Yuhina,Staphida everetti,montane forest of northern Borneo,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25089,Kastanienkamm-Yuhina,Yuhina Cresticastaño,Каштановокрилий юхіна,يوهينا ذات القمة الكستنائية
25280,stryuh1,,,species,Striated Yuhina,Staphida castaniceps,,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25090,Gestreifte Yuhina,Yuhina estriada,Смугаста югіна,يوهينا مخططة
25281,stryuh6,,,group (polytypic),Striated Yuhina (Gray-crowned),Staphida castaniceps [striata Group],,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25091,Gestreifte Yuhina (Graukrönchen),Yuhina estriada (coronigris),Смугаста югіна (сіроголова),يوهينا مخططة (تاج رمادي)
25282,stryuh2,,,subspecies,,Staphida castaniceps rufigenis,northeastern India (Darjeeling) and Sikkim,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25092,Braunkopfschnäpper,Papamoscas de cabeza castaña,Коричноголовий мухолов,ستافيدا كاستانيسبس روفيجينيس
25283,stryuh3,,,subspecies,,Staphida castaniceps plumbeiceps,northern Assam to northern Myanmar and southern China (western Yunnan),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25093,Graukopfschnäpper,Papamoscas de cabeza gris,Сіроголовий мухолов,ذبابة الرأس الرمادية
25284,stryuh5,,,subspecies,Chestnut-capped Brush Finch,Staphida castaniceps striata,mountains of eastern Myanmar to northwestern Thailand,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25094,Gestreifter Kastanienkopf-Baumläufer,Trepatroncos Estriado,Смугастий каштаноголовий стефіда,ستافيدا كاستانيسبس سترياتا
25285,stryuh4,,,group (monotypic),Striated Yuhina (Rufous-crowned),Staphida castaniceps castaniceps,southern Assam to southwestern Myanmar (Chin Hills and Arakan Yoma Mountains),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25095,Braunkopfschnäpper,Papamoscas de cabeza castaña,Коричноголовий мухолов,يوهينا مخططة (تاجها أحمر مصفر)
25286,indyuh1,,,species,Indochinese Yuhina,Staphida torqueola,northern plateau of Thailand to southern China and northern Indochina,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25096,Indochinesische Yuhina,Yuhina indochina,Індокитайська юхіна,يوهينا إندوشينية
25287,blcyuh1,,,species,Black-chinned Yuhina,Yuhina nigrimenta,"northern India eastward to central and southeastern China, southward to western Myanmar, northern and central Laos, Vietnam, and far eastern Cambodia",Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25097,Schwarzkehl-Yuhina,Yuhina de barbilla negra,Юхіна чорногорла,يوهينا ذات الذقن السوداء
25288,taiyuh1,,,species,Taiwan Yuhina,Yuhina brunneiceps,montane forest of Taiwan,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25098,Taiwan-Yuhina,Yuhina de Taiwán,Тайванська югіна,يوهينا تايوان
25289,whiyuh1,,,species,Whiskered Yuhina,Yuhina flavicollis,,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25099,Gelbhals-Yuhina,Yuhina Bigotuda,Жовтогорла югіна,يوهينا صفراء العنق
25290,whiyuh2,,,subspecies,Stripe-throated Yuhina,Yuhina flavicollis albicollis,western Himalayas (Kashmir to western Nepal),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25100,Gelbhals-Sonnenvogel,Yuhina de cuello amarillo,Юхіна жовтогорла,يوهينا ذات الرقبة الصفراء
25291,whiyuh3,,,subspecies,Stripe-throated Yuhina,Yuhina flavicollis flavicollis,"central Nepal to Bhutan, eastern Assam (Abor Hills), and southeastern Tibet",Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25101,Gelbhals-Sonnenvogel,Yuhina de cuello amarillo,Жовтогорлий юхіна,يوهينا ذو الرقبة الصفراء
25292,whiyuh4,,,subspecies,Stripe-throated Yuhina,Yuhina flavicollis rouxi,"southern Assam to northern Myanmar, southern China (Yunnan), and northern Indochina",Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25102,Gelbhals-Yuhina,Yuhina de cuello amarillo,Жовтогорла юїна,يوهينا ذات الرقبة الصفراء
25293,whiyuh6,,,subspecies,Stripe-throated Yuhina,Yuhina flavicollis rogersi,far northern Thailand (Doi Phu Kha),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25103,Gelbhals-Sonnenvogel,Yuhina de cuello amarillo,Жовтогорлий югіна,يوهينا ذو الرقبة الصفراء
25294,whiyuh5,,,subspecies,,Yuhina flavicollis constantiae,mountains of northern Laos (Chiang Khwang Province),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25104,Gelbhals-Yuhina,Yuhina de cuello amarillo,Жовтогорла югіна,يوهينا ذات الرقبة الصفراء
25295,buryuh1,,,species,Burmese Yuhina,Yuhina humilis,,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25105,Birmesische Yuhina,Yuhina birmana,Бирманська югіна,يوهينا بورمية
25296,buryuh2,,,subspecies,Stripe-throated Yuhina,Yuhina humilis clarki,mountains of eastern Myanmar (Southern Shan State and Karenni State),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25106,Yuhina humilis clarki,Yuhina humilis clarki,Югіна гуміліс кларкі,يوهينا هوميليس كلاركي
25297,buryuh3,,,subspecies,Stripe-throated Yuhina,Yuhina humilis humilis,mountains of southeastern Myanmar and adjacent northwestern Thailand,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25107,Gelbbrauen-Yuhina,Yuhina humilde,Юхіна скромна,يوهينا هوميليس
25298,whnyuh1,,,species,White-naped Yuhina,Yuhina bakeri,mountains of northeastern India (Assam) to Myanmar and southern China (northwestern Yunnan),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25108,Weißnacken-Yuhina,Yuhina de nuca blanca,Юхіна білошия,يوهينا بيكيري
25299,sttyuh1,,,species,Stripe-throated Yuhina,Yuhina gularis,,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25109,Streifenkehl-Yuhina,Yuhina garganta rayada,Юхіна смугастогорла,يوهينا مخططة الحلق
25300,sttyuh2,,,subspecies,Stripe-throated Yuhina,Yuhina gularis vivax,western Himalayas (Garhwal to Kumaon),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25110,Gelbkehl-Sonnenvogel,Yuhina de garganta amarilla,Жовтогорлий югіна,يوهينا ذو الحنجرة الصفراء
25301,sttyuh3,,,subspecies,Stripe-throated Yuhina,Yuhina gularis gularis,"Nepal to southeastern Tibet, northwestern Yunnan, western Myanmar, and northwestern Vietnam",Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25111,Glatthals-Yuhina,Yuhina gularis,Юхіна гуляріс,يوهينا ذات الحنجرة الصفراء
25302,sttyuh5,,,subspecies,Stripe-throated Yuhina,Yuhina gularis omeiensis,southern China (Omei Shan Mountains of Sichuan to northwestern Yunnan),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25112,Gelbkehl-Yuhina,Yuhina de garganta amarilla,Юхіна жовтогорла,يوهينا ذات الحنجرة الصفراء
25303,sttyuh4,,,subspecies,Stripe-throated Yuhina,Yuhina gularis uthaii,"central Vietnam (Mount Ngoc Linh, Kon Tum Province)",Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25113,Gelbbürzel-Yuhina,Yuhina de garganta amarilla,Юхіна жовточерева,يوهينا ذات الحنجرة الصفراء
25304,ruvyuh1,,,species,Rufous-vented Yuhina,Yuhina occipitalis,,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25114,Rötelschwanztimalie,Yuhina ventrirrufo,Рудохвоста югіна,يوهينا ذات الردف المحمر
25305,ruvyuh2,,,subspecies,Whiskered Yuhina,Yuhina occipitalis occipitalis,eastern Himalayas (Nepal to southeastern Tibet and northern Assam),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25115,Scheitelhauben-Yuhina,Yuhina coronada,Юхіна чубата,يوهينا القممية
25306,ruvyuh3,,,subspecies,Whiskered Yuhina,Yuhina occipitalis obscurior,northeastern Myanmar (Kachin State) to southern China (northwestern Yunnan),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25116,Dunkler Scheitel-Yuhina,Yuhina occipitalis obscurior,Юхіна темноголова,يوهينا ذات القمة الداكنة
25308,fltbab1,,,species,Flame-templed Babbler,Dasycrotapha speciosa,"Negros and Panay, central Philippines; population on Panay may be an undescribed subspecies",Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25118,Flammenstirn-Babbler,Chinchero de frente flameante,Вогнеголовий баблер,بابِلر ذو الجبهة النارية
25309,vispyb1,,,species,Visayan Pygmy-Babbler,Dasycrotapha pygmaea,Philippines (Leyte and Samar),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25119,Visayischer Zwerg-Babbler,Papamoscas pigmeo visayano,Візаянський карликовий баблер,بابِلر فيسايان القزم
25310,pygbab1,,,species,Mindanao Pygmy-Babbler,Dasycrotapha plateni,southern Philippines (Mindanao),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25120,Mindanao-Zwergwürger,Papamoscas pigmeo de Mindanao,Пігмійський баблер Мінданао,بابِلر قزم مينداناو
25311,rucbab3,,,species,Rusty-crowned Babbler,Sterrhoptilus capitalis,,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25121,Rostkronen-Babbler,Timalí coronado de óxido,Рудокоронний баблер,بابلر تاجي صدئ
25312,rucbab4,,,subspecies,,Sterrhoptilus capitalis capitalis,southern Philippines (Dinagat),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25122,Sterrhoptilus capitalis capitalis,Sterrhoptilus capitalis capitalis,Стерроптилус капіталіс капіталіс,ستيرروبتيلوس كابيتاليس كابيتاليس
25313,rucbab5,,,subspecies,,Sterrhoptilus capitalis euroaustralis,"southern Philippines (Mindanao, except Zamboanga Peninsula)",Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25123,Sterrhoptilus capitalis euroaustralis,Sterrhoptilus capitalis euroaustralis,Стерроптилус капіталіс євроаустраліс,ستيرروبتيلوس كابيتاليس يوروأوستراليس
25314,rucbab6,,,subspecies,,Sterrhoptilus capitalis isabelae,southern Philippines (Basilan and Zamboanga Peninsula of Mindanao),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25124,Sterrhoptilus capitalis isabelae,Sterrhoptilus capitalis isabelae,Sterrhoptilus capitalis isabelae,ستيروهبتيلوس كابيتاليس إيزابيلائي
25315,gocbab1,,,species,Golden-crowned Babbler,Sterrhoptilus dennistouni,northern Philippines (Sierra Madre Mountains of northern Luzon),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25125,Goldkronen-Babbler,Timalí coronado de oro,Золотокоронний баблер,بابلر ذو التاج الذهبي
25316,bkcbab3,,,species,Calabarzon Babbler,Sterrhoptilus affinis,Philippines (southern Sierra Madre Mountains of southern Luzon),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25126,Calabarzon-Babbler,Chinchero de Calabarzón,Калабарзонський баблер,بابلر كالابارزون
25317,bkcbab10,,,species,Visayan Babbler,Sterrhoptilus nigrocapitatus,,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25127,Visayan-Babbler,Chinchero Visayo,Візаянський баблер,بابلر فيسايان
25318,bkcbab4,,,subspecies,,Sterrhoptilus nigrocapitatus nigrocapitatus,northern Philippines (Leyte and Samar),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25128,Schwarzscheitel-Baumwürger,Trepador de cabeza negra,Чорноголовий деревний вивільга,سترهروبتيليس نيغروكابيتاتوس نيغروكابيتاتوس
25319,bkcbab5,,,subspecies,Bohol Flowerpecker,Sterrhoptilus nigrocapitatus boholensis,central Philippines (Bohol),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25129,Schwarzscheitel-Baumwürger,Sterrhoptilus nigrocapitatus boholensis,Стеррхоптілус нігрокапітатус бохоленсіс,ستيروهبتيلوس نيغروكابيتاتوس بوهولينسيس
25320,pasbab1,,,species,Palawan Striped-Babbler,Zosterornis hypogrammicus,southwestern Philippines (montane forest of Palawan),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25130,Palawan-Streifenwürger,Babero Rayado de Palawan,Палаванський смугастий баблер,بابِلر مخطط بالاوان
25321,lusbab1,,,species,Luzon Striped-Babbler,Zosterornis striatus,northern Philippines (northern Luzon),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25131,Luzon-Streifenwürger,Babero Rayado de Luzón,Лузонський смугастий баблер,بابِلر مخطط لوزون
25322,chfbab1,,,species,Chestnut-faced Babbler,Zosterornis whiteheadi,,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25132,Kastaniengesicht-Babbler,Zosterornis de Whitehead,Зостерорніс Уайтхеда,زوستيرورنيز وايتهيد
25323,chfbab2,,,subspecies,Whitehead's Chestnut-eye,Zosterornis whiteheadi whiteheadi,northern Philippines (northern Luzon),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25133,Weißheads Zosterornis,Zosterornis de Whitehead,Зостерорніс Вайтхеда,زوستيرورنيز وايتهيدي
25324,chfbab3,,,subspecies,Whitehead's Sorsogon Babbler,Zosterornis whiteheadi sorsogonensis,northern Philippines (southern Luzon),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25134,Weißheads Zosterornis,Zosterornis de Whitehead de Sorsogon,Зостерорніс Вайтхеда сорсогоненсис,زوستيرورنيز وايتهيدي سورسوجونينسيس
25325,pasbab2,,,species,Panay Striped-Babbler,Zosterornis latistriatus,central Philippines (montane forest of Panay),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25135,Panay-Streifenwürger,Babero Rayado de Panay,Панайський смугастий баблер,بابِلر مخطط باناي
25326,nesbab1,,,species,Negros Striped-Babbler,Zosterornis nigrorum,Philippines (montane forest of Negros),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25136,Negros-Streifenbabmler,Babero Rayado de Negros,Смугастий баблер з Негрос,بابِلر مخطط نيغروس
25327,goweye1,,,species,Golden White-eye,Cleptornis marchei,central and southern Northern Mariana Islands (Saipan and Aguijan),Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",,,25137,Goldgelber Weißauge,Ojo Blanco Dorado,Золотисте білоглазка,العين البيضاء الذهبية
